"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Chiang Mai urban area","Thailand",52.8125,66,13.1875,2.25409772610422,238475,330652,92177,3.32200605339642,4515.50295857988,5009.87878787879,143.067142562678,"Spillover",98.9817163,18.7060641
"Xingyang urban area","China",47.25,57.9375,10.6875,2.06005401974291,252537,330620,78083,2.73073857578144,5344.69841269841,5706.49406688242,136.873583238349,"Spillover",113.383221,34.787375
"Ku'erle urban area","China",110.375,121.3125,10.9375,0.949339933491748,216560,328985,112425,4.27009888534318,1962.03850509626,2711.88047398248,97.2870802757394,"Contained",86.174633,41.725891
"Shuangcheng urban area","China",158.25,163.5,5.25,0.326902457578288,290589,328834,38245,1.2441070820567,1836.2654028436,2011.21712538226,137.272846123676,"Contained",126.312745,45.383263
"Yima urban area","China",51,52.625,1.625,0.31414900977139,307260,328462,21202,0.669499788899653,6024.70588235294,6241.55819477435,76.6437128572776,"Spillover",111.87448,34.7474
"Zhaodong urban area","China",162.75,164.5,1.75,0.10701010616804,300061,328458,28397,0.90833241211068,1843.69278033794,1996.70516717325,61.626228122689,"Contained",125.961814,46.051126
"Kurume urban area","Japan",87.9375,97.875,9.9375,1.07640014152218,281007,328443,47436,1.57206623107255,3195.53091684435,3355.73946360153,209.492790285859,"Spillover",130.5083735,33.3192865
"Xinzhou urban area","China",67.625,75.6875,8.0625,1.13272007848021,280720,327820,47100,1.56316097726477,4151.12754158965,4331.230388109,171.178343949045,"Contained",112.734174,38.416663
"Manado urban area","Indonesia",39.9375,49.4375,9.5,2.1568663518832,235278,325338,90060,3.29405987154802,5891.15492957746,6580.79393173199,105.485232067511,"Contained",124.8420794,1.4748305
"Pinghu urban area","China",16,49.125,33.125,11.8711900709119,118637,323890,205253,10.5650173347448,7414.8125,6593.18066157761,161.386191675639,"Contained",121.015142,30.677233
"Takamatsu urban area","Japan",122.75,130.75,8,0.633370725713058,278360,323652,45292,1.51895689071194,2267.69857433809,2475.34990439771,176.631634725779,"Spillover",134.046574,34.3427879
"Jiyuan urban area","China",87.4375,107.25,19.8125,2.0633824156303,258050,320572,62522,2.19324089648574,2951.25089349535,2989.01631701632,316.888455263747,"Contained",112.601919,35.067243
"Hezhou urban area","China",44.4375,69.75,25.3125,4.6115072261126,187426,319973,132547,5.49414329959383,4217.74402250352,4587.42652329749,190.969995548749,"Contained",111.566694,24.403582
"Weitang urban area","China",18.25,71.625,53.375,14.6516149924639,104565,319346,214781,11.811767787864,5729.58904109589,4458.58289703316,248.508946322068,"Contained",120.649342,31.463476
"Neijiang urban area","China",29.3125,38.4375,9.125,2.74725481850943,277042,316716,39674,1.34735971410501,9451.32622601279,8239.76585365854,229.999495891516,"Contained",105.058433,29.580229
"Baguio urban area","Philippines",34.5625,46.4375,11.875,2.99742524624311,222164,316654,94490,3.60748442628955,6427.89150090416,6818.92866756393,125.674674568737,"Spillover",120.5960071,16.4023332
"Feixian urban area","China",58.75,62.1875,3.4375,0.570248380163445,299450,316493,17043,0.555071502079507,5097.02127659574,5089.33467336683,201.695710849029,"Contained",117.977325,35.265961
"Dujiangyan urban area","China",24.75,49.25,24.5,7.12309286317378,189656,316489,126833,5.25414393448805,7662.86868686869,6426.17258883249,193.167393344004,"Contained",103.646912,30.988435
"Linhe urban area","China",80.875,92.375,11.5,1.33839363034141,269975,316430,46455,1.60039821593207,3338.17619783617,3425.49391069012,247.551393821978,"Contained",107.363919,40.751187
"Chuzhou urban area","China",21.125,43.875,22.75,7.5826013155587,202119,316322,114203,4.58086405962459,9567.76331360947,7209.61823361823,199.206675831633,"Spillover",118.328322,32.253425
"Banda Aceh urban area","Indonesia",64.125,79.5625,15.4375,2.18051901137579,217711,315826,98115,3.79029605015537,3395.10331384016,3969.53338570306,157.340875503236,"Spillover",95.3237559,5.5482904
"Yueping urban area","China",46.5625,57.75,11.1875,2.17662887316046,247214,314972,67758,2.45186973707749,5309.29395973154,5454.06060606061,165.109654948493,"Contained",121.4347858,29.2976344
"Tancheng urban area","China",51.4375,58.1875,6.75,1.24066393117806,296307,314179,17872,0.587386470284165,5760.52490886999,5399.42427497315,377.685765443151,"Contained",118.367215,34.613586
"Longcheng urban area","China",90,91.75,1.75,0.192763716885395,323944,313990,-9954,-0.311608719895022,3599.37777777778,3422.23433242507,-175.808720112518,"Contained",120.413376,41.576749
"Fengcheng urban area","China",31.75,44.9375,13.1875,3.53484026740371,205186,313966,108780,4.34544354811763,6462.55118110236,6986.72600834492,121.230924802353,"Contained",115.771094,28.159142
"Rugao urban area","China",16.6875,37.5,20.8125,8.43363053416237,179626,313405,133779,5.72402097628318,10764.1048689139,8357.46666666667,155.573744758146,"Contained",120.574946,32.370557
"Nakhon Ratchasima urban area","Thailand",87.25,99.375,12.125,1.30973295850841,237952,313283,75331,2.78855172344402,2727.2435530086,3152.53333333333,160.956312806149,"Spillover",102.083652,14.9738493
"Alorá Setar urban area","Malaysia",79.875,86.3125,6.4375,0.77812697906216,215537,313279,97742,3.81041925406194,2698.42879499218,3629.59015206372,65.8621677477441,"Spillover",100.3678178,6.1248
"Shahe urban area","China",62.25,69,6.75,1.03479706613998,281373,310706,29333,0.996592596884376,4520.04819277108,4502.98550724638,230.116251321038,"Contained",114.503335,36.854922
"Qui Nhon urban area","Vietnam",27.4375,34.375,6.9375,2.27978747076386,200778,310582,109804,4.45903653248901,7317.64920273349,9035.11272727273,63.1807584423154,"Spillover",109.2196634,13.7829673
"Huazhou urban area","China",27.0625,31.5625,4.5,1.55009831045057,230315,310150,79835,3.02080904791844,8510.48498845266,9826.53465346535,56.3662554017661,"Contained",110.639569,21.664044
"Yongchuan urban area","China",17.8125,40.0625,22.25,8.44294841771765,135257,309979,174722,8.6468782447179,7593.37543859649,7737.38533541342,127.345154016094,"Contained",105.927376,29.356117
"Bencheng urban area","China",133.9375,228.4375,94.5,5.4839832293245,289498,309479,19981,0.669650699773518,2161.44097060196,1354.76443228454,4729.49301836745,"Contained",115.5843737,32.6387731
"Suining urban area","China",29.25,47.1875,17.9375,4.89870091794481,216687,308815,92128,3.60639270837066,7408.10256410256,6544.4238410596,194.701936436263,"Contained",105.592898,30.532847
"Viangchan urban area","Laos",47.8125,96.9375,49.125,7.32355163877873,134290,307044,172754,8.62147455924598,2808.67973856209,3167.44294003868,284.363893166005,"Fragmented",102.6331035,17.9757058
"Gaozhou urban area","China",28.25,31.5625,3.3125,1.11493204658624,266146,305841,39695,1.39991154871193,9421.09734513274,9690.01188118812,83.4487970777176,"Contained",110.853302,21.917982
"Oita urban area","Japan",99.9375,106,6.0625,0.590678702497304,267361,305626,38265,1.34660947347177,2675.28205128205,2883.2641509434,158.43460081014,"Spillover",131.609272,33.2395578
"Yuzhou urban area","China",32.5625,41.4375,8.875,2.43953077477473,243852,305285,61433,2.27227445229225,7488.73704414587,7367.3604826546,144.466329171618,"Contained",113.488478,34.140701
"Bago urban area","Myanmar",63.875,64.0625,0.1875,0.0293155042429799,242840,304817,61977,2.29911957498413,3801.80039138943,4758.11902439024,3.02531584297401,"Contained",96.4663286,17.3220711
"Wuchang urban area","China",157.3125,159.4375,2.125,0.134267287984905,303653,304171,518,0.0170458643604549,1930.25347636075,1907.77577420619,4102.3166023166,"Contained",114.316422,30.554363
"Lingcheng urban area","China",97.75,99.6875,1.9375,0.196463678623857,280452,303985,23533,0.809012671504644,2869.07416879795,3049.37931034483,82.3311944928398,"Contained",116.576092,37.335794
"Yanzhou urban area","China",35.3125,45.9375,10.625,2.66534930674968,248883,303876,54993,2.01642887150328,7048.01415929204,6614.98775510204,193.206408088302,"Contained",116.783834,35.553144
"Wuzhong urban area","China",7.75,36,28.25,16.6004106169601,131633,303215,171582,8.7022642023475,16984.9032258065,8422.63888888889,164.644310009208,"Contained",106.198394,37.997461
"Liupanshui urban area","China",17.75,20.5625,2.8125,1.48170513491787,205051,302615,97564,3.96875800064222,11552.1690140845,14716.8389057751,28.827231355828,"Contained",104.830359,26.592666
"Huanghua urban area","China",188.8125,223.1875,34.375,1.68664355452988,252132,302295,50163,1.83106820166954,1335.35650446872,1354.444133296,685.266032733289,"Contained",117.330048,38.371383
"Niushan urban area","China",85.8125,93.3125,7.5,0.841414073654295,329236,301808,-27428,-0.866065509739639,3836.69045884924,3234.37910247823,-273.443196733265,"Contained",118.743257,34.521105
"Potou urban area","China",89.5,91.3125,1.8125,0.200691759173741,280959,301508,20549,0.708375176874435,3139.20670391061,3301.9356605065,88.2038055379824,"Contained",110.455332,21.244721
"Yuxi urban area","China",46,72.375,26.375,4.63646869184731,181862,300045,118183,5.13430379177882,3953.52173913043,4145.69948186528,223.170845214625,"Contained",102.527197,24.347324
"Fuzhou urban area","China",36,46.375,10.375,2.56475387526793,226829,299817,72988,2.82903675846919,6300.80555555556,6465.05660377359,142.146654244533,"Contained",119.296494,26.074508
"Shihezi urban area","China",56,84.375,28.375,4.18437143417202,422900,299676,-123224,-3.385696400644,7551.78571428571,3551.71555555556,-230.27170031812,"Contained",86.080602,44.306097
"Kuala Terengganu urban area","Malaysia",73.75,75.5,1.75,0.234791815645157,211812,298654,86842,3.4955739868323,2872.02711864407,3955.6821192053,20.1515395776237,"Contained",103.1370142,5.329624
"Yunfu urban area","China",45.1875,64.875,19.6875,3.68260629299519,215022,297832,82810,3.31154255314601,4758.4398340249,4590.85934489403,237.743026204565,"Spillover",112.044491,22.915094
"Changge urban area","China",64.8125,66.75,1.9375,0.294992361582428,273332,297745,24413,0.859172299323967,4217.27290260366,4460.59925093633,79.3634538975136,"Contained",113.819888,34.194136
"Pohang urban area","South Korea",55.3125,63.625,8.3125,1.40992247963361,261236,297278,36042,1.30082318686642,4722.91073446328,4672.34577603143,230.633705121802,"Contained",129.3434808,36.0190178
"Kaiyuan urban area","China",109.1875,116.0625,6.875,0.612490611858539,278182,296934,18752,0.654475553746516,2547.74585002862,2558.39741518578,366.627559726962,"Spillover",103.267143,23.714316
"Long Xuyen urban area","Vietnam",18.25,24.3125,6.0625,2.90978597576866,182927,296004,113077,4.93055665277607,10023.397260274,12174.971722365,53.6139091061843,"Spillover",105.4185406,10.3759416
"Leizhou urban area","China",35.375,42.125,6.75,1.7616983553063,229972,295579,65607,2.54154609485922,6500.97526501767,7016.71216617211,102.88536284238,"Contained",110.096586,20.914179
"Shizilu urban area","China",65.6875,70.75,5.0625,0.745201789714931,301375,294203,-7172,-0.240563493547414,4588.01141769743,4158.34628975265,-705.870050195204,"Contained",109.184691,22.253586
"Xianning urban area","China",29.125,64.125,35,8.21217954070273,202050,292949,90899,3.78469575057771,6937.33905579399,4568.40545808967,385.042739744112,"Contained",114.322439,29.841438
"Tianshui urban area","China",45.9375,60.625,14.6875,2.8130965463091,218076,292844,74768,2.99184679861276,4747.23265306122,4830.41649484536,196.440990798202,"Spillover",105.724947,34.580864
"Zaoyang urban area","China",101,103.25,2.25,0.220570048621769,297759,291535,-6224,-0.211020710432136,2948.10891089109,2823.58353510896,-361.503856041131,"Contained",112.771959,32.128818
"Xinle urban area","China",55.3125,69.375,14.0625,2.29112872018895,239008,291238,52230,1.99609862742784,4321.04858757062,4198.02522522522,269.241815048823,"Contained",114.684014,38.343296
"Huozhou urban area","China",105.75,115.875,10.125,0.918534935940403,267616,290616,23000,0.827905245747317,2530.64775413712,2508.01294498382,440.217391304348,"Spillover",111.755398,36.568931
"Luoding urban area","China",33.0625,39.625,6.5625,1.82709606033939,220432,289958,69526,2.7793922826054,6667.13043478261,7317.55205047319,94.3891493829646,"Contained",111.570011,22.768595
"Shanwei urban area","China",32.125,37.125,5,1.45707385990323,228248,289882,61634,2.41921122612178,7104.99610894942,7808.26936026936,81.1240549047604,"Contained",115.375159,22.786186
"Liling urban area","China",22.0625,28.125,6.0625,2.45750616022541,234559,289263,54704,2.11841806770207,10631.5694050991,10284.9066666667,110.823705761919,"Contained",113.496999,27.646096
"Wendeng urban area","China",66.75,82.6875,15.9375,2.16422835970715,253492,289056,35564,1.32153789897075,3797.6329588015,3495.7641723356,448.135755258126,"Contained",122.057941,37.193886
"Sinuiju urban area","North Korea",29.5,32.4375,2.9375,0.953768633508701,258938,288876,29938,1.10009583381159,8777.5593220339,8905.61849710983,98.1194468568375,"Spillover",124.4489192,40.0823213
"Lhasa urban area","China",75.1875,105.375,30.1875,3.43301739262971,213038,288163,75125,3.06663902555499,2833.42310889443,2734.64294187426,401.830282861897,"Spillover",91.17211,29.652491
"Hejin urban area","China",77.8125,90.0625,12.25,1.47275762865317,249071,286256,37185,1.40121140540911,3200.9124497992,3178.41498959056,329.433911523464,"Contained",110.712063,35.596383
"Qidong urban area","China",23.1875,45.1875,22,6.89968827071877,163216,285216,122000,5.74044054353427,7038.96495956873,6311.83402489627,180.327868852459,"Contained",121.655432,31.793278
"Changyi urban area","China",131.9375,134.9375,3,0.225086767442907,317116,284701,-32415,-1.07248869395604,2403.53197536712,2109.87308939324,-92.5497454881999,"Contained",119.398525,36.85882
"Liyang urban area","China",23.375,66.8125,43.4375,11.0735392103336,134857,283460,148603,7.71143921152095,5769.28342245989,4242.61927034612,292.305673505918,"Contained",119.484211,31.416911
"Yingde urban area","China",54.1875,79.8125,25.625,3.94824945612514,178047,283331,105284,4.75528515802992,3285.75778546713,3549.95771339076,243.389308916834,"Contained",113.401702,24.206986
"Zhongxiang urban area","China",90.375,95.6875,5.3125,0.572834386710888,265717,281633,15916,0.583425055820216,2940.16044260028,2943.25800130634,333.78361397336,"Contained",112.588121,31.16782
"Linqu urban area","China",45.6875,53.6875,8,1.62664271550632,257165,281312,24147,0.901504003617517,5628.78248974008,5239.80442374854,331.304095746884,"Contained",118.542982,36.512506
"Fenghua urban area","China",62.4375,110.9375,48.5,5.91641849496447,211514,280668,69154,2.86920373228399,3387.61161161161,2529.96507042254,701.333256210776,"Contained",121.406995,29.655143
"Zhangye urban area","China",22.125,38.375,16.25,5.66143653705465,198517,277879,79362,3.42030217884221,8972.5197740113,7241.14657980456,204.757944608251,"Contained",100.449818,38.925875
"Meishan urban area","China",27.0625,48.9375,21.875,6.10293234473211,155165,276886,121721,5.96214060561427,5733.57967667437,5657.95146871009,179.714264588691,"Contained",103.848538,30.07544
"Changli urban area","China",79.8125,86.6875,6.875,0.829718887480845,256394,275441,19047,0.719154844518289,3212.45418950666,3177.40158615717,360.949230850003,"Contained",119.162694,39.712813
"Qufu urban area","China",48.125,51.6875,3.5625,0.716697875365287,254938,275127,20189,0.76503586820205,5297.41298701299,5322.89238210399,176.457476843826,"Contained",116.986503,35.580996
"Palu urban area","Indonesia",52.0625,55.4375,3.375,0.63009017026872,199820,274020,74200,3.20823016207101,3838.07923169268,4942.86358511838,45.4851752021563,"Contained",119.8779987,-0.9002915
"Fujieda urban area","Japan",90.5625,96.8125,6.25,0.669590782957314,240912,273732,32820,1.28536879137621,2660.17391304348,2827.44480309877,190.43266301036,"Fragmented",138.2574584,34.8673673
"Hanchuan urban area","China",29.875,42,12.125,3.46516094278198,210525,273050,62525,2.63461333231153,7046.86192468619,6501.19047619048,193.922431027589,"Contained",113.839149,30.661244
"Wuhai urban area","China",26.0625,30.1875,4.125,1.48015165725478,180976,272902,91926,4.19300734428473,6943.92326139089,9040.23188405797,44.8730500620064,"Contained",106.794249,39.655389
"Lanxi urban area","China",44.125,84.1875,40.0625,6.67343730876154,197522,272323,74801,3.26351045150976,4476.41926345609,3234.72011878248,535.587759521932,"Contained",119.460526,29.208919
"Yuanping urban area","China",63.4375,71.5,8.0625,1.20360857106385,245567,270458,24891,0.970145654411521,3871.00689655172,3782.62937062937,323.912257442449,"Contained",112.711059,38.731402
"Tianmen urban area","China",42.1875,44.5,2.3125,0.535078665091798,289026,270210,-18816,-0.670911421989709,6850.98666666667,6072.13483146067,-122.900722789116,"Contained",110.482084,29.046809
"Hat Yai urban area","Thailand",39.25,46,6.75,1.59955764251824,196456,270048,73592,3.2327666880019,5005.24840764331,5870.60869565217,91.7219262963366,"Spillover",100.4746879,7.0086472
"Daojiang urban area","China",47,78.8125,31.8125,5.30517752291351,204270,269835,65565,2.82278652686984,4346.17021276596,3423.75892149088,485.205521238466,"Contained",110.666615,23.883531
"Tebingtinggi urban area","Indonesia",16.6875,19.5,2.8125,1.56973825309792,194934,269791,74857,3.30325032432597,11681.4382022472,13835.4358974359,37.5716365870927,"Spillover",99.1566855,3.3262879
"Xinyi urban area","China",36.0625,51.25,15.1875,3.57711351083695,213686,269754,56068,2.35738506049489,5925.43500866551,5263.49268292683,270.876435756581,"Contained",110.947044,22.354385
"General Santos urban area","Philippines",54.0625,67.75,13.6875,2.2824959768211,180978,269341,88363,4.05612965535464,3347.56994219653,3975.51291512915,154.900806898815,"Contained",125.171618,6.1163861
"Sandakan urban area","Malaysia",53,57,4,0.730246936044196,184252,268595,84343,3.84093054941292,3476.45283018868,4712.19298245614,47.4253939271783,"Contained",118.1171729,5.839444
"Anguo urban area","China",94.875,94.875,0,5.15857449083432e-14,274619,268460,-6159,-0.226570495021089,2894.534914361,2829.61791831357,0,"Contained",115.326647,38.41844
"Cagayan de Oro urban area","Philippines",38.4375,47.25,8.8125,2.08564285576852,184947,268087,83140,3.78219370028223,4811.62926829268,5673.79894179894,105.995910512389,"Spillover",124.6318977,8.4542363
"Leling urban area","China",69.3125,72.125,2.8125,0.398546690622504,243954,267553,23599,0.927656250889177,3519.62488728584,3709.57365684575,119.178778761812,"Contained",117.231935,37.729907
"Yanshi urban area","China",45.875,55.5,9.625,1.92288087128466,285057,266174,-18883,-0.68304586452385,6213.77656675749,4795.92792792793,-509.717735529312,"Contained",112.789534,34.72722
"Nagasaki urban area","Japan",43.9375,47.125,3.1875,0.702812981337267,237747,266084,28337,1.13241345675821,5411.02702702703,5646.34482758621,112.48544306031,"Spillover",129.877667,32.7502856
"Haimen urban area","China",17.4375,38.625,21.1875,8.27755168755269,138046,265679,127633,6.76609045491091,7916.6164874552,6878.42071197411,166.00330635494,"Contained",121.181615,31.871173
"Jiehu urban area","China",52.625,56.375,3.75,0.690719598014497,264041,265360,1319,0.0498424224139936,5017.40617577197,4707.05099778271,2843.06292645944,"Contained",118.45146,35.556017
"Hetian urban area","China",24.0625,26.25,2.1875,0.873910263040142,151574,264845,113271,5.73936711064318,6299.17922077922,10089.3333333333,19.3120922389667,"Spillover",79.922211,37.114157
"Xingcheng urban area","China",106.3125,120.0625,13.75,1.22372266062917,235197,263809,28612,1.15463398345785,2212.31746031746,2197.26392503904,480.567594016497,"Contained",120.72831,40.614762
"Pengzhou urban area","China",29.6875,43,13.3125,3.77422121709266,198117,263068,64951,2.87613223338252,6673.41473684211,6117.86046511628,204.962202275562,"Contained",103.958014,30.990108
"Xiantao urban area","China",35.625,42.125,6.5,1.69006011918281,285725,261581,-24144,-0.878972478450309,8020.35087719298,6209.63798219585,-269.21802518224,"Contained",113.423482,30.360882
"Ambon urban area","Indonesia",26.5,26.5,0,4.79707749611854e-14,195934,261186,65252,2.91626319812689,7393.7358490566,9856.07547169811,0,"Contained",128.1907723,-3.6553932
"Yucheng urban area","China",73,74.5625,1.5625,0.212007004816373,258722,259759,1037,0.0400095208342959,3544.13698630137,3483.77535624476,1506.75024108004,"Contained",116.638327,36.933812
"Dancheng urban area","China",56.4375,88.5625,32.125,4.60879754213794,194588,257648,63060,2.84686835023631,3447.84939091916,2909.22230063514,509.435458293689,"Contained",115.177189,33.644743
"Xiangcheng urban area","China",37.375,38.125,0.75,0.198879535696497,263815,257269,-6546,-0.250943307774096,7058.59531772575,6748.0393442623,-114.573785517874,"Contained",114.875333,33.465838
"Linan urban area","China",14.5625,38.4375,23.875,10.1924703676584,130523,256950,126427,7.00797792054108,8962.95278969957,6684.87804878049,188.844155125092,"Contained",119.724733,30.233873
"Xingping urban area","China",29.8125,43.1875,13.375,3.77577056720276,200955,256408,55453,2.46682404460118,6740.62893081761,5937.08827785818,241.1952464249,"Contained",108.490475,34.299221
"Taiping urban area","Malaysia",46.4375,58.4375,12,2.32512402495953,166251,256056,89805,4.41359983551391,3580.10228802153,4381.70695187166,133.622849507266,"Contained",100.7416339,4.851932
"Chonan urban area","South Korea",32.6875,48.4375,15.75,4.0111747113733,180017,255274,75257,3.55457875790788,5507.21223709369,5270.17290322581,209.282857408613,"Spillover",127.1138939,36.815129
"Bukit Tinggi urban area","Indonesia",15.6875,19.875,4.1875,2.39419590197526,168531,255158,86627,4.23484841666233,10743.0119521912,12838.1383647799,48.3394322786198,"Spillover",100.383479,-0.3039178
"Ruijin urban area","China",26.375,50,23.625,6.60504396451646,134096,254744,120648,6.6273986600899,5084.20853080569,5094.88,195.81758504078,"Contained",116.027135,25.885555
"Batu Pahat urban area","Malaysia",61.875,65.5625,3.6875,0.580555381264439,176880,253996,77116,3.68473326753983,2858.66666666667,3874.10486177312,47.8175735255978,"Contained",102.9288341,1.849442
"Jiangyan urban area","China",18.6875,46.5625,27.875,9.55911323504005,145605,252542,106937,5.66124719901998,7791.57190635451,5423.72080536913,260.667495815293,"Contained",120.127934,32.509155
"Nangong urban area","China",56.8125,58.8125,2,0.346579657294773,246469,251846,5377,0.216048696296028,4338.28822882288,4282.18490967056,371.954621536173,"Contained",115.408748,37.359264
"Chinju urban area","South Korea",39.3125,45.4375,6.125,1.45848581662935,215094,251443,36349,1.57366554643273,5471.38950715421,5533.8211829436,168.505323392666,"Spillover",128.1076213,35.1799817
"Hai'an urban area","China",11.875,35.0625,23.1875,11.4348226014641,108387,250544,142157,8.74033862658352,9127.32631578947,7145.63992869875,163.111911478154,"Contained",120.467343,32.533573
"Acheng urban area","China",117.0625,124.875,7.8125,0.648143988712248,255373,249898,-5475,-0.216489192180917,2181.50987720235,2001.18518518519,-1426.94063926941,"Contained",126.958098,45.54867
"Zhoushan urban area","China",28.0625,49.4375,21.375,5.82615430133443,146945,249838,102893,5.4509188040375,5236.34743875278,5053.61314791403,207.740079500063,"Contained",122.207216,29.985295
"Zhaoyuan urban area","China",89.3125,93.8125,4.5,0.49277670745601,250917,249769,-1148,-0.0458466516498421,2809.42757172848,2662.42771485676,-3919.8606271777,"Contained",120.434072,37.355469
"Yancheng urban area","China",88.1875,91.1875,3,0.335086129267308,236602,248622,12020,0.496772504697263,2682.94259390503,2726.49211788896,249.584026622296,"Contained",120.16366,33.347316
"Haiyang urban area","China",89.5,100.5625,11.0625,1.17222533121038,230745,248054,17309,0.725954966458187,2578.15642458101,2466.66500932256,639.118377722572,"Contained",121.158434,36.776378
"Jintan urban area","China",23.5625,63.5625,40,10.4327686019471,129008,247824,118816,6.7462610149628,5475.14058355438,3898.90265486726,336.65499596014,"Contained",119.597897,31.723248
"Vung Tau urban area","Vietnam",20,29.125,9.125,3.83017687517231,156378,247475,91097,4.69732070544126,7818.9,8496.99570815451,100.167952841477,"Spillover",107.136224,10.4113797
"Monywa urban area","Myanmar",30.25,39.6875,9.4375,2.7526039060127,153632,246660,93028,4.84837509123315,5078.74380165289,6215.05511811024,101.447951154491,"Contained",95.1536327,22.1215513
"Xinmin urban area","China",123.625,152.0625,28.4375,2.09196952600337,213857,246327,32470,1.42356102399787,1729.88473205258,1619.90628853268,875.80843855867,"Contained",122.828868,41.996508
"Baiyin urban area","China",39.4375,43.625,4.1875,1.01424131400415,220260,246200,25940,1.11957633750328,5585.03961965135,5643.55300859599,161.430223592907,"Contained",104.138586,36.545015
"Liangshi urban area","China",18.1875,26.9375,8.75,4.00600816409713,219653,245639,25986,1.12441404429326,12077.1408934708,9118.84918793503,336.719772185023,"Contained",111.300218,23.472162
"Xiajin urban area","China",46.9375,48.375,1.4375,0.302117676592316,231955,245579,13624,0.572384902142231,4941.78428761651,5076.5684754522,105.51233118027,"Contained",116.001726,36.948371
"Xichang urban area","China",26.5,48,21.5,6.12056079444738,140092,245158,105066,5.75557562137293,5286.49056603774,5107.45833333333,204.633278129937,"Contained",102.264449,27.894504
"Dehui urban area","China",143.25,150.5,7.25,0.49493807799326,274082,243747,-30335,-1.16611287619687,1913.31239092496,1619.58139534884,-238.99785726059,"Contained",125.72862,44.521785
"Cotabato urban area","Philippines",10.0625,11.8125,1.75,1.61635036679992,181076,242993,61917,2.98483726341812,17995.1304347826,20570.835978836,28.26364326437,"Spillover",125.0388164,7.1083349
"Xiazhen urban area","China",64.75,73.1875,8.4375,1.2324421480636,227821,242960,15139,0.645439922229824,3518.47104247104,3319.6925704526,557.335359006539,"Contained",117.120878,34.810243
"Zhongwei urban area","China",13.125,29.5625,16.4375,8.45864755047782,140247,240540,100293,5.54298494758739,10685.4857142857,8136.65961945032,163.894788270368,"Contained",105.196902,37.499973
"Tumxuk urban area","China",64.8125,73.5625,8.75,1.27442139756711,176514,240514,64000,3.14213584751973,2723.45612343298,3269.51911639762,136.71875,"Contained",79.069332,39.864867
"Lishui urban area","China",21.375,45.875,24.5,7.93616797704672,113771,239388,125617,7.72266277247688,5322.61988304094,5218.26702997275,195.037295907401,"Contained",119.922796,28.46763
"Ruzhou urban area","China",35.5,38.9375,3.4375,0.928535389553919,218096,239021,20925,0.920370412443698,6143.54929577465,6138.58105939005,164.277180406213,"Contained",112.844517,34.16703
"Gu'an urban area","China",57.5625,83.25,25.6875,3.75868510604127,184929,238791,53862,2.58911735657469,3212.66449511401,2868.36036036036,476.913222680183,"Contained",116.298657,39.438214
"Hancheng urban area","China",51.875,67.625,15.75,2.6868701222282,202650,237664,35014,1.60654392992677,3906.50602409639,3514.43992606285,449.820071971212,"Contained",110.442847,35.476788
"Bengkulu urban area","Indonesia",21.25,28.25,7,2.88829058152193,151727,237637,85910,4.58878527904055,7140.09411764706,8411.92920353982,81.4806192527063,"Contained",102.3463875,-3.5778471
"Yishan urban area","China",45.125,51.3125,6.1875,1.2932710457663,268770,237415,-31355,-1.23280127421114,5956.12188365651,4626.84531059683,-197.336947855207,"Contained",117.002934,35.302489
"Qianjiang urban area","China",45.875,48.25,2.375,0.506031249281424,242293,237130,-5163,-0.215160433791694,5281.59128065395,4914.61139896373,-460.003873716831,"Contained",112.900079,30.40211
"Changning urban area","China",22.4375,30.9375,8.5,3.26450677208137,181898,237072,55174,2.68458067654751,8106.87465181058,7662.93333333333,154.058070830464,"Contained",121.424624,31.220367
"Baishan urban area","China",33.125,37.0625,3.9375,1.12950520439791,205106,237058,31952,1.45831026631378,6191.87924528302,6396.16863406408,123.231722583876,"Contained",126.424251,41.940977
"Miri urban area","Malaysia",94.125,105.0625,10.9375,1.10538194561337,161911,236731,74820,3.87185265583727,1720.16998671979,2253.23973825104,146.184175354183,"Contained",113.9913832,4.399493
"Kupang urban area","Indonesia",40.0625,40.0625,0,5.50093279394297e-14,243357,236166,-7191,-0.299496147054095,6074.43369734789,5894.9391575663,0,"Contained",123.6070329,-10.1771997
"Jiuquan urban area","China",29.75,46.1875,16.4375,4.49698221471284,146801,234738,87937,4.80582925796401,4934.48739495798,5082.28416779432,186.923593026826,"Contained",98.494352,39.732819
"Haila'er urban area","China",74.5,87.9375,13.4375,1.67209774389518,169689,234666,64977,3.29508278223289,2277.70469798658,2668.55437100213,206.803946011666,"Spillover",119.736279,49.212189
"Xinmi urban area","China",25.375,28.9375,3.5625,1.32240640928312,203551,234608,31057,1.43012429748827,8021.71428571429,8107.40388768898,114.708439321248,"Contained",113.390891,34.539443
