"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Changshu urban area","China",87.25,244.125,156.875,10.8369795187606,514981,1013254,498273,7.00220124457813,5902.36103151862,4150.55401945724,314.837448547282,"Contained",120.752481,31.654376
"Yungkang urban area","Taiwan",215.75,226.3125,10.5625,0.479108648328846,966804,1010274,43470,0.440779326809065,4481.13093858633,4464.06628003314,242.98366689671,"Spillover",120.2628111,23.0211779
"Cilacap urban area","Indonesia",93.875,100.9375,7.0625,0.728011243457377,720831,1007170,286339,3.4015222943541,7678.6258322237,9978.15479876161,24.6648203702604,"Contained",109.023521,-7.6982991
"Zhanjiang urban area","China",103.3125,129.875,26.5625,2.31451948882871,728541,1001648,273107,3.23479817529396,7051.81851179673,7712.40038498556,97.2604144163277,"Fragmented",110.359336,21.270746
"Yangzhou urban area","China",67.9375,139.75,71.8125,7.47915058421026,758087,996295,238208,2.77012627562041,11158.5942962282,7129.12343470483,301.469723938743,"Fragmented",119.412947,32.394213
"Matsumoto urban area","Japan",72.3125,74.875,2.5625,0.348837541687521,882656,994253,111597,1.19767697111605,12206.1331028522,13278.8380634391,22.9620867944479,"Spillover",137.9720341,36.2380381
"Bandar Lampung urban area","Indonesia",63.9375,76.625,12.6875,1.8266564529995,684822,989952,305130,3.75371198615502,10710.8035190616,12919.4388254486,41.5806377609543,"Spillover",105.2667887,-5.3971396
"Madiun urban area","Indonesia",161.375,184.1875,22.8125,1.331014284023,685327,985763,300436,3.70207994737336,4246.79783113865,5351.95385137428,75.9313131582101,"Spillover",111.5300159,-7.6310587
"Wuhu urban area","China",48.625,102.1875,53.5625,7.70945192344528,428018,984407,556389,8.68541449584556,8802.42673521851,9633.34067278288,96.2680786284416,"Contained",118.432941,31.352859
"Puyang urban area","China",193.75,198,4.25,0.217219204436631,830564,979104,148540,1.65893887169265,4286.78193548387,4944.9696969697,28.6118217315201,"Spillover",115.029216,35.761829
