Urban Area Name,Country,lon,lat
Chinju urban area,Republic of Korea,128.1076213,35.1799817
Hai'an urban area,China,120.467343,32.533573
Acheng urban area,China,126.958098,45.54867
Zhoushan urban area,China,122.207216,29.985295
Zhaoyuan urban area,China,120.434072,37.355469
Yancheng urban area,China,120.16366,33.347316
Haiyang urban area,China,121.158434,36.776378
Jintan urban area,China,119.597897,31.723248
Vung Tau urban area,Vietnam,107.136224,10.4113797
Monywa urban area,Myanmar,95.1536327,22.1215513
Xinmin urban area,China,122.828868,41.996508
Baiyin urban area,China,104.138586,36.545015
Liangshi urban area,China,111.300218,23.472162
Xiajin urban area,China,116.001726,36.948371
Xichang urban area,China,102.264449,27.894504
Dehui urban area,China,125.72862,44.521785
Cotabato urban area,Philippines,125.0388164,7.1083349
Xiazhen urban area,China,117.120878,34.810243
Zhongwei urban area,China,105.196902,37.499973
Tumxuk urban area,China,79.069332,39.864867
Lishui urban area,China,119.922796,28.46763
Ruzhou urban area,China,112.844517,34.16703
Gu'an urban area,China,116.298657,39.438214
Hancheng urban area,China,110.442847,35.476788
Bengkulu urban area,Indonesia,102.2607641,-3.7928451
Yishan urban area,China,117.002934,35.302489
Qianjiang urban area,China,112.900079,30.40211
Changning urban area,China,121.424624,31.220367
Baishan urban area,China,126.424251,41.940977
Miri urban area,Malaysia,113.9913832,4.399493
Kupang urban area,Indonesia,123.6070329,-10.1771997
Jiuquan urban area,China,98.494352,39.732819
Haila'er urban area,China,119.736279,49.212189
Xinmi urban area,China,113.390891,34.539443
Yangchun urban area,China,111.791539,22.170438
Huanggang urban area,China,114.8722,30.453667
Port Moresby urban area,Papua New Guinea,147.1506542,-9.4780123
Ube urban area,Japan,131.2467858,33.9515087
Emeishan urban area,China,103.334737,29.516007
Bandar Seri Begawan urban area,Brunei,114.939821,4.9030522
Qixia urban area,China,118.909246,32.096228
Hailun urban area,China,126.973143,47.461971
Shulan urban area,China,126.965607,44.406106
Cheju urban area,Republic of Korea,126.4983023,33.4890113
Jiangyou urban area,China,104.745823,31.778022
Tongchuan urban area,China,108.945233,34.896756
Laibin urban area,China,109.221466,23.750306
Koriyama urban area,Japan,140.3597421,37.400529
Guangyuan urban area,China,105.843357,32.435435
Xiangxiang urban area,China,112.535028,27.73412
Asahikawa urban area,Japan,142.364819,43.7706355
Penglai urban area,China,120.758848,37.810661
